iter	Passed	Remaining
0	1	1172
1	2	1089
2	3	1046
3	4	1019
4	5	1008
5	6	994
6	7	1002
7	8	1003
8	9	1019
9	10	1059
10	12	1084
11	13	1082
12	14	1074
13	15	1064
14	16	1057
15	17	1045
16	17	1032
17	18	1026
18	19	1020
19	20	1019
20	21	1014
21	22	1015
22	23	1016
23	25	1030
24	26	1037
25	27	1034
26	28	1030
27	29	1025
28	30	1025
29	31	1021
30	32	1014
31	33	1010
32	34	1007
33	35	1005
34	36	1003
35	37	998
36	38	995
37	40	1019
38	41	1020
39	42	1016
40	43	1012
41	44	1009
42	45	1006
43	46	1005
44	47	1004
45	48	1000
46	49	996
47	50	994
48	51	992
49	52	991
50	53	990
51	54	1001
52	56	1004
53	57	1001
54	58	999
55	59	995
56	60	995
57	60	989
58	61	983
59	62	977
60	63	972
61	63	966
62	64	960
63	65	953
64	65	947
65	66	941
66	67	937
67	68	934
68	69	938
69	70	934
70	70	928
71	71	923
72	72	919
73	73	914
74	73	908
75	74	903
76	75	899
77	75	893
78	76	888
79	76	884
80	77	880
81	78	875
82	78	868
83	79	864
84	79	860
85	80	856
86	81	853
87	82	849
88	82	846
89	84	850
90	85	851
91	86	849
92	86	846
93	87	844
94	88	841
95	89	838
96	89	835
97	90	833
98	91	830
99	91	827
100	92	824
101	93	821
102	94	818
103	94	817
104	96	819
105	96	816
106	97	813
107	98	816
108	99	815
109	100	813
110	101	810
111	102	808
112	102	806
113	103	803
114	104	800
115	104	797
116	105	794
117	105	791
118	106	788
119	107	785
120	107	783
121	108	779
122	109	781
123	110	780
124	146	1028
125	148	1030
126	149	1027
127	150	1026
128	152	1029
129	153	1026
130	154	1022
131	155	1019
132	155	1016
133	156	1012
134	157	1008
135	158	1004
136	158	1000
137	159	997
138	164	1020
139	166	1020
140	167	1019
141	168	1017
142	169	1014
143	170	1011
144	171	1008
145	171	1005
146	172	1001
147	173	998
148	174	995
149	177	1003
150	177	999
151	178	996
152	179	994
153	180	992
154	181	990
155	182	988
156	183	985
157	184	981
158	185	979
159	186	978
160	186	973
161	187	970
162	188	967
163	189	964
164	191	967
165	192	966
166	193	963
167	193	959
168	194	956
169	195	953
170	196	954
171	197	953
172	198	950
173	199	947
174	200	943
175	200	940
176	201	937
177	202	934
178	203	931
179	205	935
180	206	933
181	207	933
182	208	931
183	209	928
184	210	925
185	210	922
186	211	919
187	212	917
188	213	915
189	214	913
190	215	911
191	216	909
192	216	906
193	217	903
194	220	909
195	222	914
196	223	911
197	224	909
